song_id,term,weight,source
song_0001,sol,1.773,generated_bow
song_0001,playa,2.1984,generated_bow
song_0001,ritmo,1.9095,generated_bow
song_0001,corazon,1.717,generated_bow
song_0001,fiesta,1.8294,generated_bow
song_0001,calle,1.8938,generated_bow
song_0001,luna,1.2094,generated_bow
song_0001,beso,2.1395,generated_bow
song_0001,mar,2.008,generated_bow
song_0001,vida,2.112,generated_bow
song_0001,guitar,1.3777,generated_bow
song_0001,rebel,0.9316,generated_bow
song_0001,heart,0.9389,generated_bow
song_0001,shine,0.6139,generated_bow
song_0001,cipher,1.1977,generated_bow
song_0001,wind,0.5685,generated_bow
song_0001,roots,1.0741,generated_bow
song_0001,truth,1.2296,generated_bow
song_0002,heart,1.8479,generated_bow
song_0002,dance,2.201,generated_bow
song_0002,night,1.8125,generated_bow
song_0002,light,1.6716,generated_bow
song_0002,dream,1.2769,generated_bow
song_0002,city,1.6869,generated_bow
song_0002,mirror,2.2256,generated_bow
song_0002,summer,1.6784,generated_bow
song_0002,radio,1.993,generated_bow
song_0002,shine,1.3085,generated_bow
song_0002,memory,1.8246,generated_bow
song_0002,static,1.3144,generated_bow
song_0002,road,1.0265,generated_bow
song_0002,break,1.2613,generated_bow
song_0002,calle,1.068,generated_bow
song_0002,beat,0.7257,generated_bow
song_0002,memory,2.0472,generated_bow
song_0002,radio,2.0479,generated_bow
song_0003,velvet,1.3953,generated_bow
song_0003,touch,2.0427,generated_bow
song_0003,slow,2.2334,generated_bow
song_0003,room,2.0879,generated_bow
song_0003,soul,2.0367,generated_bow
song_0003,rain,2.0502,generated_bow
song_0003,midnight,1.9639,generated_bow
song_0003,warmth,1.3994,generated_bow
song_0003,blue,1.7194,generated_bow
song_0003,silence,1.5411,generated_bow
song_0003,mar,0.5319,generated_bow
song_0003,fire,0.5307,generated_bow
song_0003,rise,0.8074,generated_bow
song_0003,static,0.7851,generated_bow
song_0003,break,1.2618,generated_bow
song_0003,wind,1.5522,generated_bow
song_0003,drive,1.492,generated_bow
song_0003,legacy,2.0307,generated_bow
song_0004,heart,2.1501,generated_bow
song_0004,dance,1.5284,generated_bow
song_0004,night,1.8574,generated_bow
song_0004,light,2.0681,generated_bow
song_0004,dream,1.2819,generated_bow
song_0004,city,1.5774,generated_bow
song_0004,mirror,2.4326,generated_bow
song_0004,summer,1.3693,generated_bow
song_0004,radio,2.1279,generated_bow
song_0004,shine,1.6273,generated_bow
song_0004,rise,1.6994,generated_bow
song_0004,home,0.5954,generated_bow
song_0004,beat,1.5408,generated_bow
song_0004,pulse,1.794,generated_bow
song_0004,static,1.0095,generated_bow
song_0004,calle,1.3177,generated_bow
song_0004,neon,1.0934,generated_bow
song_0004,pulse,1.1747,generated_bow
song_0005,sol,2.0293,generated_bow
song_0005,playa,1.949,generated_bow
song_0005,ritmo,1.263,generated_bow
song_0005,corazon,1.9744,generated_bow
song_0005,fiesta,1.3032,generated_bow
song_0005,calle,2.2352,generated_bow
song_0005,luna,1.3643,generated_bow
song_0005,beso,2.1113,generated_bow
song_0005,mar,1.1808,generated_bow
song_0005,vida,1.3841,generated_bow
song_0005,neon,1.0513,generated_bow
song_0005,rise,1.34,generated_bow
song_0005,shine,0.8586,generated_bow
song_0005,story,1.0988,generated_bow
song_0005,midnight,1.4176,generated_bow
song_0005,radio,1.067,generated_bow
song_0005,radio,1.8139,generated_bow
song_0005,memory,1.9875,generated_bow
song_0006,fire,1.1543,generated_bow
song_0006,road,2.0291,generated_bow
song_0006,storm,1.3396,generated_bow
song_0006,voice,1.6708,generated_bow
song_0006,break,1.9477,generated_bow
song_0006,drive,1.7621,generated_bow
song_0006,guitar,1.5086,generated_bow
song_0006,thunder,1.7202,generated_bow
song_0006,rebel,1.761,generated_bow
song_0006,ashes,2.0127,generated_bow
song_0006,wave,0.6167,generated_bow
song_0006,neon,1.6163,generated_bow
song_0006,dance,0.7733,generated_bow
song_0006,calle,0.8046,generated_bow
song_0006,roots,1.3495,generated_bow
song_0006,silence,1.0585,generated_bow
song_0006,pulse,1.6179,generated_bow
song_0006,mirror,1.836,generated_bow
song_0007,pulse,2.6857,generated_bow
song_0007,signal,1.9191,generated_bow
song_0007,neon,2.6142,generated_bow
song_0007,wave,2.1864,generated_bow
song_0007,motion,1.4356,generated_bow
song_0007,echo,1.7655,generated_bow
song_0007,circuit,2.1876,generated_bow
song_0007,bass,2.074,generated_bow
song_0007,chrome,1.3008,generated_bow
song_0007,static,1.2838,generated_bow
song_0007,soul,0.9863,generated_bow
song_0007,thunder,0.5798,generated_bow
song_0007,legacy,0.7647,generated_bow
song_0007,field,0.5804,generated_bow
song_0007,wind,1.2364,generated_bow
song_0007,playa,1.3623,generated_bow
song_0007,rise,1.9867,generated_bow
song_0007,mirror,1.1699,generated_bow
song_0008,fire,1.927,generated_bow
song_0008,road,2.2435,generated_bow
song_0008,storm,1.5942,generated_bow
song_0008,voice,1.6134,generated_bow
song_0008,break,1.5423,generated_bow
song_0008,drive,1.2514,generated_bow
song_0008,guitar,1.5525,generated_bow
song_0008,thunder,1.5218,generated_bow
song_0008,rebel,1.6545,generated_bow
song_0008,ashes,1.9235,generated_bow
song_0008,warmth,0.9228,generated_bow
song_0008,mirror,1.5692,generated_bow
song_0008,story,0.825,generated_bow
song_0008,luna,1.5569,generated_bow
song_0008,signal,0.6241,generated_bow
song_0008,flow,1.5104,generated_bow
song_0008,pulse,1.2514,generated_bow
song_0008,neon,1.964,generated_bow
song_0009,flow,1.7403,generated_bow
song_0009,street,1.7163,generated_bow
song_0009,rise,1.6941,generated_bow
song_0009,beat,1.5098,generated_bow
song_0009,truth,1.957,generated_bow
song_0009,power,2.0295,generated_bow
song_0009,cipher,1.3517,generated_bow
song_0009,block,2.1348,generated_bow
song_0009,legacy,1.4458,generated_bow
song_0009,hustle,1.1685,generated_bow
song_0009,ritmo,0.5974,generated_bow
song_0009,train,0.7866,generated_bow
song_0009,fiesta,1.169,generated_bow
song_0009,room,0.7446,generated_bow
song_0009,vida,0.7909,generated_bow
song_0009,guitar,0.6338,generated_bow
song_0009,truth,1.6627,generated_bow
song_0009,chrome,2.0937,generated_bow
song_0010,pulse,1.9854,generated_bow
song_0010,signal,1.469,generated_bow
song_0010,neon,1.7001,generated_bow
song_0010,wave,1.3457,generated_bow
song_0010,motion,1.5317,generated_bow
song_0010,echo,1.17,generated_bow
song_0010,circuit,1.4255,generated_bow
song_0010,bass,1.1669,generated_bow
song_0010,chrome,2.4564,generated_bow
song_0010,static,2.2562,generated_bow
song_0010,fire,0.7084,generated_bow
song_0010,guitar,1.0222,generated_bow
song_0010,light,1.5281,generated_bow
song_0010,road,0.6169,generated_bow
song_0010,storm,1.4008,generated_bow
song_0010,ashes,0.9754,generated_bow
song_0010,roots,1.5445,generated_bow
song_0010,truth,1.9181,generated_bow
song_0011,fire,2.2301,generated_bow
song_0011,road,2.0707,generated_bow
song_0011,storm,1.1657,generated_bow
song_0011,voice,1.838,generated_bow
